0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
84.867,182.534,34.784,149.234,137.767,108.483,109.466,149.85,83.434,94.251,79.983,68.35,56.466,52.183,1391.652
,,,,,,,,,,,,,,
"[0, 53, 45, 49, 28, 15, 0]","[0, 40, 33, 6, 61, 27, 47, 62, 0]","[0, 17, 0]","[0, 12, 20, 5, 13, 0]","[0, 44, 50, 42, 34, 0]","[0, 55, 0]","[0, 59, 22, 30, 3, 18, 0]","[0, 8, 63, 21, 0]","[0, 57, 31, 66, 26, 67, 19, 0]","[0, 54, 64, 32, 14, 0]","[0, 4, 52, 58, 29, 0]","[0, 39, 51, 0]","[0, 16, 9, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
78.199,160.868,34.784,123.417,101.917,108.483,95.967,150.666,96,99.651,81.967,69.166,53.233,52.833,1307.151
,,,,,,,,,,,,,,
"[0, 49, 45, 15, 28, 53, 0]","[0, 6, 40, 27, 61, 47, 33, 62, 0]","[0, 17, 0]","[0, 12, 20, 13, 5, 0]","[0, 50, 34, 44, 42, 0]","[0, 55, 0]","[0, 30, 22, 59, 3, 18, 0]","[0, 21, 8, 63, 0]","[0, 57, 19, 31, 67, 26, 66, 0]","[0, 32, 54, 64, 14, 0]","[0, 52, 4, 58, 29, 0]","[0, 51, 39, 0]","[0, 37, 16, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
71.25,158.25,34.784,149.333,106.617,108.483,99.199,150.117,69.766,92.35,87.25,69.166,53.233,52.183,1301.981
,,,,,,,,,,,,,,
"[0, 45, 28, 15, 49, 53, 0]","[0, 62, 33, 61, 47, 40, 27, 6, 0]","[0, 17, 0]","[0, 12, 5, 13, 20, 0]","[0, 44, 42, 34, 50, 0]","[0, 55, 0]","[0, 59, 30, 3, 22, 18, 0]","[0, 63, 8, 21, 0]","[0, 57, 31, 67, 19, 66, 26, 0]","[0, 14, 54, 32, 64, 0]","[0, 52, 58, 29, 4, 0]","[0, 51, 39, 0]","[0, 37, 16, 9, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
66.849,143.135,34.784,122.967,104.667,108.483,91.667,141.384,70.201,99.3,79.983,68.35,54.083,52.183,1238.036
,,,,,,,,,,,,,,
"[0, 15, 45, 28, 53, 49, 0]","[0, 47, 27, 33, 62, 61, 6, 40, 0]","[0, 17, 0]","[0, 5, 20, 13, 12, 0]","[0, 42, 44, 50, 34, 0]","[0, 55, 0]","[0, 30, 22, 18, 3, 59, 0]","[0, 8, 21, 63, 0]","[0, 57, 67, 66, 19, 26, 31, 0]","[0, 14, 64, 54, 32, 0]","[0, 4, 52, 58, 29, 0]","[0, 39, 51, 0]","[0, 9, 16, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
91.284,151.735,34.784,151.833,136.616,108.483,106.883,150.117,76.066,100.1,84.3,68.35,53.233,52.833,1366.617
,,,,,,,,,,,,,,
"[0, 28, 49, 45, 53, 15, 0]","[0, 62, 6, 40, 61, 27, 33, 47, 0]","[0, 17, 0]","[0, 20, 13, 5, 12, 0]","[0, 42, 50, 44, 34, 0]","[0, 55, 0]","[0, 30, 59, 22, 18, 3, 0]","[0, 63, 8, 21, 0]","[0, 19, 66, 31, 57, 67, 26, 0]","[0, 32, 64, 14, 54, 0]","[0, 29, 52, 58, 4, 0]","[0, 39, 51, 0]","[0, 37, 16, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
74.45,180.033,34.784,153.95,102.6,108.483,109.033,150.666,82.349,87.784,90.55,69.166,54.083,52.183,1350.114
,,,,,,,,,,,,,,
"[0, 45, 53, 49, 15, 28, 0]","[0, 40, 27, 6, 62, 61, 47, 33, 0]","[0, 17, 0]","[0, 20, 12, 5, 13, 0]","[0, 50, 34, 42, 44, 0]","[0, 55, 0]","[0, 22, 3, 30, 59, 18, 0]","[0, 21, 8, 63, 0]","[0, 19, 31, 57, 66, 67, 26, 0]","[0, 64, 32, 14, 54, 0]","[0, 52, 58, 4, 29, 0]","[0, 51, 39, 0]","[0, 9, 16, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
85.182,174.916,34.784,128.65,131.016,108.483,92.634,150.666,74.734,92.884,86.549,69.166,56.466,52.183,1338.313
,,,,,,,,,,,,,,
"[0, 15, 28, 53, 45, 49, 0]","[0, 40, 62, 33, 6, 47, 27, 61, 0]","[0, 17, 0]","[0, 5, 20, 12, 13, 0]","[0, 44, 34, 50, 42, 0]","[0, 55, 0]","[0, 18, 3, 59, 30, 22, 0]","[0, 21, 8, 63, 0]","[0, 57, 26, 19, 67, 66, 31, 0]","[0, 32, 54, 14, 64, 0]","[0, 52, 29, 4, 58, 0]","[0, 51, 39, 0]","[0, 16, 9, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
69.883,164.183,34.784,126.501,132.2,108.483,104.849,150.117,76.1,92.633,84.3,68.35,53.233,52.833,1318.449
,,,,,,,,,,,,,,
"[0, 45, 28, 15, 53, 49, 0]","[0, 47, 62, 61, 27, 33, 40, 6, 0]","[0, 17, 0]","[0, 20, 13, 12, 5, 0]","[0, 42, 34, 50, 44, 0]","[0, 55, 0]","[0, 59, 30, 3, 18, 22, 0]","[0, 63, 8, 21, 0]","[0, 67, 57, 31, 66, 19, 26, 0]","[0, 64, 14, 54, 32, 0]","[0, 29, 52, 58, 4, 0]","[0, 39, 51, 0]","[0, 37, 16, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
72.767,166.267,34.784,151.934,104.833,108.483,92.383,141.384,77.949,99.651,79.983,68.35,58.384,52.183,1309.335
,,,,,,,,,,,,,,
"[0, 15, 53, 49, 28, 45, 0]","[0, 40, 62, 61, 27, 33, 6, 47, 0]","[0, 17, 0]","[0, 12, 5, 20, 13, 0]","[0, 44, 42, 50, 34, 0]","[0, 55, 0]","[0, 18, 59, 3, 30, 22, 0]","[0, 8, 21, 63, 0]","[0, 67, 57, 19, 66, 31, 26, 0]","[0, 32, 54, 64, 14, 0]","[0, 4, 52, 58, 29, 0]","[0, 39, 51, 0]","[0, 16, 37, 9, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
89.75,173.935,34.784,151.934,101.917,108.483,83.949,150.117,77.95,94.117,79.983,69.166,58.384,52.833,1327.302
,,,,,,,,,,,,,,
"[0, 15, 53, 28, 49, 45, 0]","[0, 6, 27, 62, 47, 61, 33, 40, 0]","[0, 17, 0]","[0, 12, 5, 20, 13, 0]","[0, 50, 34, 44, 42, 0]","[0, 55, 0]","[0, 59, 3, 30, 22, 18, 0]","[0, 63, 8, 21, 0]","[0, 26, 31, 19, 66, 57, 67, 0]","[0, 14, 32, 64, 54, 0]","[0, 4, 52, 58, 29, 0]","[0, 51, 39, 0]","[0, 16, 37, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
67.517,157.884,34.784,122.967,136.616,108.483,95.951,150.666,89.734,87.717,85.584,69.166,56.466,52.833,1316.368
,,,,,,,,,,,,,,
"[0, 53, 49, 45, 15, 28, 0]","[0, 40, 62, 27, 6, 61, 47, 33, 0]","[0, 17, 0]","[0, 5, 20, 13, 12, 0]","[0, 42, 50, 44, 34, 0]","[0, 55, 0]","[0, 30, 22, 3, 59, 18, 0]","[0, 21, 8, 63, 0]","[0, 67, 31, 57, 66, 26, 19, 0]","[0, 54, 32, 14, 64, 0]","[0, 4, 29, 58, 52, 0]","[0, 51, 39, 0]","[0, 16, 9, 37, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
69.15,167.601,34.784,122.75,101.917,108.483,105.449,149.85,76.467,95.017,79.65,69.166,54.083,52.183,1286.55
,,,,,,,,,,,,,,
"[0, 28, 45, 15, 53, 49, 0]","[0, 6, 61, 62, 47, 27, 33, 40, 0]","[0, 17, 0]","[0, 5, 12, 20, 13, 0]","[0, 50, 34, 44, 42, 0]","[0, 55, 0]","[0, 3, 30, 22, 18, 59, 0]","[0, 8, 63, 21, 0]","[0, 26, 31, 66, 67, 19, 57, 0]","[0, 54, 64, 14, 32, 0]","[0, 29, 52, 4, 58, 0]","[0, 51, 39, 0]","[0, 9, 16, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
70.617,168.384,34.784,150.599,106.617,108.483,92.683,149.85,83.717,87.15,81.55,69.166,58.384,52.833,1314.817
,,,,,,,,,,,,,,
"[0, 49, 53, 45, 15, 28, 0]","[0, 40, 6, 27, 62, 61, 33, 47, 0]","[0, 17, 0]","[0, 13, 5, 12, 20, 0]","[0, 44, 42, 34, 50, 0]","[0, 55, 0]","[0, 18, 30, 22, 59, 3, 0]","[0, 8, 63, 21, 0]","[0, 26, 19, 67, 31, 57, 66, 0]","[0, 54, 14, 32, 64, 0]","[0, 52, 4, 29, 58, 0]","[0, 51, 39, 0]","[0, 16, 37, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
69.566,181.1,34.784,149.216,134.55,108.483,117.866,150.666,90.217,92.884,81.551,68.35,54.083,52.183,1385.499
,,,,,,,,,,,,,,
"[0, 15, 28, 45, 49, 53, 0]","[0, 61, 33, 40, 27, 6, 47, 62, 0]","[0, 17, 0]","[0, 13, 20, 5, 12, 0]","[0, 50, 44, 34, 42, 0]","[0, 55, 0]","[0, 3, 18, 59, 22, 30, 0]","[0, 21, 8, 63, 0]","[0, 67, 57, 19, 26, 31, 66, 0]","[0, 32, 54, 14, 64, 0]","[0, 29, 58, 52, 4, 0]","[0, 39, 51, 0]","[0, 9, 16, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
83.666,171.201,34.784,151.833,108.8,108.483,85.133,149.85,65.666,95.017,81.967,69.166,56.466,52.183,1314.215
,,,,,,,,,,,,,,
"[0, 15, 49, 45, 28, 53, 0]","[0, 27, 6, 40, 33, 47, 62, 61, 0]","[0, 17, 0]","[0, 20, 13, 5, 12, 0]","[0, 50, 42, 44, 34, 0]","[0, 55, 0]","[0, 30, 59, 3, 22, 18, 0]","[0, 8, 63, 21, 0]","[0, 26, 31, 57, 66, 19, 67, 0]","[0, 54, 64, 14, 32, 0]","[0, 52, 4, 58, 29, 0]","[0, 51, 39, 0]","[0, 16, 9, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
68.8,160.917,34.784,149.216,109.967,108.483,100.099,138.516,68.801,87.784,81.967,69.166,57.317,52.183,1288
,,,,,,,,,,,,,,
"[0, 53, 49, 15, 28, 45, 0]","[0, 40, 6, 27, 61, 47, 33, 62, 0]","[0, 17, 0]","[0, 13, 20, 5, 12, 0]","[0, 34, 42, 44, 50, 0]","[0, 55, 0]","[0, 18, 22, 3, 30, 59, 0]","[0, 63, 21, 8, 0]","[0, 57, 26, 66, 19, 67, 31, 0]","[0, 64, 32, 14, 54, 0]","[0, 52, 4, 58, 29, 0]","[0, 51, 39, 0]","[0, 9, 37, 16, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
89.75,151.033,34.784,130.7,101.917,108.483,114.683,149.85,70.2,94.117,81.566,69.166,56.466,52.183,1304.898
,,,,,,,,,,,,,,
"[0, 15, 53, 28, 49, 45, 0]","[0, 33, 27, 6, 61, 47, 62, 40, 0]","[0, 17, 0]","[0, 20, 12, 13, 5, 0]","[0, 50, 34, 44, 42, 0]","[0, 55, 0]","[0, 3, 18, 30, 22, 59, 0]","[0, 8, 63, 21, 0]","[0, 26, 31, 67, 19, 66, 57, 0]","[0, 14, 32, 64, 54, 0]","[0, 52, 29, 58, 4, 0]","[0, 51, 39, 0]","[0, 16, 9, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
85.8,175.634,34.784,126.084,102.6,108.483,108.466,138.516,88.251,94.434,79.75,69.166,54.883,52.833,1319.684
,,,,,,,,,,,,,,
"[0, 53, 15, 28, 49, 45, 0]","[0, 40, 33, 62, 47, 27, 6, 61, 0]","[0, 17, 0]","[0, 12, 13, 20, 5, 0]","[0, 50, 34, 42, 44, 0]","[0, 55, 0]","[0, 3, 22, 59, 30, 18, 0]","[0, 63, 21, 8, 0]","[0, 26, 19, 57, 67, 66, 31, 0]","[0, 32, 14, 64, 54, 0]","[0, 4, 58, 29, 52, 0]","[0, 51, 39, 0]","[0, 37, 9, 16, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
77.133,127.05,34.784,152.449,110.151,108.483,113.016,149.85,69.7,100.901,85.584,68.35,58.384,52.833,1308.668
,,,,,,,,,,,,,,
"[0, 45, 28, 49, 53, 15, 0]","[0, 47, 61, 40, 6, 62, 27, 33, 0]","[0, 17, 0]","[0, 13, 5, 20, 12, 0]","[0, 50, 44, 42, 34, 0]","[0, 55, 0]","[0, 59, 30, 18, 3, 22, 0]","[0, 8, 63, 21, 0]","[0, 31, 57, 67, 66, 19, 26, 0]","[0, 14, 64, 32, 54, 0]","[0, 4, 29, 58, 52, 0]","[0, 39, 51, 0]","[0, 16, 37, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
67.517,128.351,34.784,125.516,136.599,108.483,111.816,148.567,83.417,86.4,87.25,69.166,54.083,52.833,1294.782
,,,,,,,,,,,,,,
"[0, 53, 49, 45, 15, 28, 0]","[0, 62, 27, 33, 47, 6, 40, 61, 0]","[0, 17, 0]","[0, 13, 20, 12, 5, 0]","[0, 44, 34, 42, 50, 0]","[0, 55, 0]","[0, 18, 59, 22, 3, 30, 0]","[0, 21, 63, 8, 0]","[0, 57, 31, 19, 26, 67, 66, 0]","[0, 64, 54, 14, 32, 0]","[0, 52, 58, 29, 4, 0]","[0, 51, 39, 0]","[0, 9, 16, 37, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
69.15,146.733,34.784,122.75,129.549,108.483,105.616,138.516,77.95,92.884,79.083,68.35,58.384,52.183,1284.415
,,,,,,,,,,,,,,
"[0, 28, 45, 15, 53, 49, 0]","[0, 40, 61, 6, 62, 47, 33, 27, 0]","[0, 17, 0]","[0, 5, 12, 20, 13, 0]","[0, 42, 50, 34, 44, 0]","[0, 55, 0]","[0, 59, 30, 22, 18, 3, 0]","[0, 63, 21, 8, 0]","[0, 57, 19, 66, 26, 31, 67, 0]","[0, 32, 54, 14, 64, 0]","[0, 29, 58, 4, 52, 0]","[0, 39, 51, 0]","[0, 16, 37, 9, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
86,158.984,34.784,149.333,104.667,108.483,83.949,150.117,79.032,87.351,79.65,69.166,54.883,52.833,1299.232
,,,,,,,,,,,,,,
"[0, 49, 15, 53, 45, 28, 0]","[0, 33, 62, 47, 27, 6, 61, 40, 0]","[0, 17, 0]","[0, 12, 5, 13, 20, 0]","[0, 42, 44, 50, 34, 0]","[0, 55, 0]","[0, 59, 3, 30, 22, 18, 0]","[0, 63, 8, 21, 0]","[0, 67, 19, 57, 31, 26, 66, 0]","[0, 32, 14, 54, 64, 0]","[0, 29, 52, 4, 58, 0]","[0, 51, 39, 0]","[0, 37, 9, 16, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
78.199,174.118,34.784,123.784,104.383,108.483,107.599,148.567,88.466,94.434,86.967,69.166,54.083,52.183,1325.216
,,,,,,,,,,,,,,
"[0, 49, 45, 15, 28, 53, 0]","[0, 61, 40, 33, 62, 6, 27, 47, 0]","[0, 17, 0]","[0, 13, 12, 20, 5, 0]","[0, 34, 50, 42, 44, 0]","[0, 55, 0]","[0, 3, 22, 18, 59, 30, 0]","[0, 21, 63, 8, 0]","[0, 19, 57, 26, 66, 31, 67, 0]","[0, 32, 14, 64, 54, 0]","[0, 58, 52, 29, 4, 0]","[0, 51, 39, 0]","[0, 9, 16, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
79.916,165.15,34.784,152.449,130.4,108.483,106.082,148.567,76.318,88.234,84.167,68.35,53.233,52.833,1348.966
,,,,,,,,,,,,,,
"[0, 53, 15, 45, 28, 49, 0]","[0, 40, 27, 33, 61, 62, 6, 47, 0]","[0, 17, 0]","[0, 13, 5, 20, 12, 0]","[0, 44, 50, 34, 42, 0]","[0, 55, 0]","[0, 59, 18, 22, 30, 3, 0]","[0, 21, 63, 8, 0]","[0, 26, 57, 67, 31, 66, 19, 0]","[0, 64, 14, 32, 54, 0]","[0, 58, 4, 29, 52, 0]","[0, 39, 51, 0]","[0, 37, 16, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
81.266,166.867,34.784,149.333,136.599,108.483,91.667,150.666,85.25,99.651,81.566,68.35,54.083,52.183,1360.748
,,,,,,,,,,,,,,
"[0, 53, 15, 28, 45, 49, 0]","[0, 33, 47, 61, 40, 27, 6, 62, 0]","[0, 17, 0]","[0, 12, 5, 13, 20, 0]","[0, 44, 34, 42, 50, 0]","[0, 55, 0]","[0, 30, 22, 18, 3, 59, 0]","[0, 21, 8, 63, 0]","[0, 31, 26, 19, 57, 67, 66, 0]","[0, 32, 54, 64, 14, 0]","[0, 52, 29, 58, 4, 0]","[0, 39, 51, 0]","[0, 9, 16, 37, 0]","[0, 35, 69, 0]",
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
66.849,143.0,34.784,125.51599999999999,131.016,108.483,114.833,141.38400000000001,77.6,99.233,85.85,69.166,54.88300000000001,52.183,1304.7799999999997
"[0, 15, 45, 28, 53, 49, 0]","[0, 47, 61, 62, 27, 33, 40, 6, 0]","[0, 17, 0]","[0, 13, 20, 12, 5, 0]","[0, 44, 34, 50, 42, 0]","[0, 55, 0]","[0, 22, 30, 59, 18, 3, 0]","[0, 8, 21, 63, 0]","[0, 19, 26, 31, 57, 67, 66, 0]","[0, 54, 32, 64, 14, 0]","[0, 4, 58, 52, 29, 0]","[0, 51, 39, 0]","[0, 37, 9, 16, 0]","[0, 35, 69, 0]",
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
70.084,180.55,34.784,121.999,102.60000000000001,108.483,111.816,149.85000000000002,70.217,87.351,74.932,69.166,56.465999999999994,52.833,1291.1309999999999
"[0, 49, 53, 28, 15, 45, 0]","[0, 6, 62, 47, 27, 40, 61, 33, 0]","[0, 17, 0]","[0, 5, 13, 20, 12, 0]","[0, 50, 34, 42, 44, 0]","[0, 55, 0]","[0, 18, 59, 22, 3, 30, 0]","[0, 8, 63, 21, 0]","[0, 57, 67, 19, 66, 26, 31, 0]","[0, 32, 14, 54, 64, 0]","[0, 4, 52, 29, 58, 0]","[0, 51, 39, 0]","[0, 16, 9, 37, 0]","[0, 69, 35, 0]",
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
83.85000000000001,176.651,34.784,153.95,136.59900000000002,108.483,110.0,150.666,94.58399999999999,87.717,76.13400000000001,69.166,54.083,52.833,1389.5000000000002
"[0, 53, 28, 49, 45, 15, 0]","[0, 6, 61, 33, 40, 62, 47, 27, 0]","[0, 17, 0]","[0, 20, 12, 5, 13, 0]","[0, 44, 34, 42, 50, 0]","[0, 55, 0]","[0, 59, 30, 22, 3, 18, 0]","[0, 21, 8, 63, 0]","[0, 67, 31, 19, 26, 66, 57, 0]","[0, 54, 32, 14, 64, 0]","[0, 58, 29, 52, 4, 0]","[0, 51, 39, 0]","[0, 9, 16, 37, 0]","[0, 69, 35, 0]",
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
84.383,150.417,34.784,153.95,134.85,108.483,117.71600000000001,150.11700000000002,82.333,92.884,76.13400000000001,68.35,58.384,52.183,1364.9679999999998
"[0, 28, 49, 45, 15, 53, 0]","[0, 6, 33, 62, 27, 40, 47, 61, 0]","[0, 17, 0]","[0, 20, 12, 5, 13, 0]","[0, 50, 42, 34, 44, 0]","[0, 55, 0]","[0, 22, 59, 18, 3, 30, 0]","[0, 63, 8, 21, 0]","[0, 19, 67, 31, 57, 66, 26, 0]","[0, 32, 54, 14, 64, 0]","[0, 58, 29, 52, 4, 0]","[0, 39, 51, 0]","[0, 16, 37, 9, 0]","[0, 35, 69, 0]",
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
67.517,162.46699999999998,34.784,149.333,105.28300000000002,108.483,106.082,141.38400000000001,76.033,87.717,90.63399999999999,68.35,54.88300000000001,52.183,1305.133
